证券代码,证券简称,地域概念名称,板块代码,概念名称,收盘价(元),涨跌幅(%),涨跌(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),最新股息率(%),总市值(亿元),流通市值(元),行业名称,分类
000066,中国长城,广东,,"集成电路概念,钠离子电池,区块链,中盘股,海工装备,AIPC,数字经济,标普道琼斯中国,大央企重组,芯片概念,深圳特区,交换机,央企央资,量子通信,国产操作系统,中字头,MSCI概念,华为鲲鹏,军工,车联网(车路协同),政府控股,融资融券,液冷概念,转融券标的,东数西算/算力,无人机,商业航天,汽车电子概念,网络安全,数据中心,26中报预增,国企改革,双百企业,算力一体机,智能电网,DeepSeek概念股,服务器,OpenClaw概念,纳入富时罗素,大数据,北斗导航,5G概念,新能源车,华为概念,军民融合,深海科技,粤港澳自贸区,信创,百度概念,人工智能,CPU概念,AI算力芯片,军工信息化,数据安全,半导体设备概念,深股通,数字中国,智慧城市,国产软件,消费电子产业,锂电池概念,TMT,互联网医疗",13.74,4.49,0.59,13.95,13.6,4.32,1.19,139273218.0,1918125566.86,-,443.22,44319054774.12,计算机-计算机设备-其他计算机设备,核心供应商
000070,特发信息,广东,,"国资云概念,标普道琼斯中国,抖音概念,深圳特区,腾讯概念,5.5G,阿里概念,共封装光模块(CPO）,军工,智慧政务,政府控股,低空经济,融资融券,东数西算/算力,转融券标的,无人机,深圳国资改革,特高压,数据中心,光伏概念,国企改革,智慧灯杆,谷歌概念,光纤概念,双百企业,智能电网,大数据,5G概念,今日头条概念,华为概念,创投,6G,光通信,信创,粤港澳自贸区,算力租赁,百度概念,人工智能,卫星互联网,成飞概念,军工信息化,大飞机,深股通,物业管理概念,算电协同,智慧城市,一带一路,F5G,TMT,高铁,传感器",12.68,4.11,0.5,13.08,12.68,5.91,1.16,50593033.0,650846887.24,-,110.11,10863298879.88,通信-通信设备-通信线缆及配套,核心供应商
000099,中信海直,,,,14.46,0.49,0.07,14.52,14.31,1.16,1.15,8979500.0,129619593.0,1.11,112.18,11217636181.02,交通运输-航空机场-航空运输,行业龙头
000100,TCL科技,,,,4.73,0.21,0.01,4.92,4.73,3.56,1.32,716022270.0,3450885711.02,1.9,983.88,95143856516.28,电子-光学光电子-面板,核心供应商/行业龙头
000157,中联重科,,,,7.6,-1.68,-0.13,7.69,7.56,0.7,1.01,49600690.0,377676990.56,5.26,657.29,63902319974.14,机械设备-工程机械-工程机械整机,行业龙头
000158,常山北明,河北,,"国资云概念,区块链,华为算力,数字经济,棉花,标普道琼斯中国,抖音概念,腾讯概念,华为昇腾,AI应用,阿里概念,华为鲲鹏,智慧政务,车联网(车路协同),政府控股,融资融券,东数西算/算力,转融券标的,智能制造,网络安全,数据中心,数据确权,国企改革,微利股,华为HMS,DeepSeek概念股,纳入富时罗素,冷链物流,大数据,工业互联网,ERP概念,数字乡村,华为概念,信创,互联网金融,京津冀一体化,百度概念,人工智能,IT服务概念,云计算,数据安全,雄安新区,NFT文交所,充电桩,深股通,物业管理概念,数字中国,智慧城市,参股民营银行,小盘股,华为鸿蒙,国产软件,TMT,智谱AI,金融科技",13.3,6.23,0.78,13.42,12.65,3.87,2.28,61409145.0,807436001.4,0.2,212.62,21119224226.8,计算机-IT服务Ⅱ-IT服务Ⅲ,核心供应商
000159,国际实业,,,,5.35,2.49,0.13,5.37,5.22,1.88,1.06,9046200.0,48197151.09,0.37,25.72,2571576437.55,电力设备-光伏设备-光伏辅材,核心供应商
000301,东方盛虹,,,,11.77,-1.09,-0.13,11.99,11.52,0.58,1.61,38028891.0,448136141.78,-,778.14,77780550480.71,石油石化-炼化及贸易-炼油化工,行业龙头
000333,美的集团,,,,87.6,-1.52,-1.35,87.79,84.51,0.69,1.36,47504454.0,4107738669.9,4.8,6681.68,658969136315.98,家用电器-白色家电-空调,行业龙头
000338,潍柴动力,,,,27.95,7.67,1.99,28.44,27.55,2.59,1.38,128428319.0,3601267305.6,1.29,2414.94,193932166806.03,汽车-汽车零部件-底盘与发动机系统,行业龙头
000400,许继电气,,,,22.8,-0.7,-0.16,23.15,22.51,1.97,0.82,19916176.0,453521710.84,2.01,232.25,23066788705.2,电力设备-电网设备-电网自动化设备,核心供应商
000409,云鼎科技,,,,8.79,3.29,0.28,8.84,8.52,1.65,1.6,9723363.0,84820436.09,-,59.57,5190265879.86,计算机-IT服务Ⅱ-IT服务Ⅲ,核心供应商
000410,沈阳机床,,,,4.93,2.07,0.1,4.98,4.84,0.86,1.22,17008287.0,83472213.64,-,130.6,9717120381.69,机械设备-通用设备-机床工具,核心供应商
000425,徐工机械,,,,8.96,-2.5,-0.23,9.14,8.8,1.95,1.57,175666981.0,1567924158.41,2.22,1049.32,80628698689.28,机械设备-工程机械-工程机械整机,行业龙头
000488,ST晨鸣,,,,1.99,2.05,0.04,1.99,1.95,0.5,1.1,8475700.0,16727397.0,-,58.53,4020291861.75,轻工制造-造纸-大宗用纸,行业龙头
000503,国新健康,山东,,"疫苗检测溯源,DRG/DIP,标普道琼斯中国,数字经济,大央企重组,医保,医疗耗材概念,华为概念,SPD(医疗供应链管理),央企央资,人工智能,健康中国,AI医疗概念,数据要素,政府控股,融资融券,家庭医生,深股通,医疗信息化,转融券标的,数字中国,养老概念,电商概念,国企改革,服务消费,TMT,互联网医疗,智能医疗",7.72,7.82,0.56,7.82,7.06,5.11,1.75,50069287.0,374502071.11,-,75.6,7559697843.84,计算机-软件开发-垂直应用软件,核心供应商
000506,招金黄金,,,,14.52,10.0,1.32,14.52,13.27,13.73,1.74,127474858.0,1804359167.27,-,134.89,13484825073.72,有色金属-贵金属-黄金,行业龙头
000509,华塑控股,,,,2.93,3.17,0.09,2.99,2.86,3.2,1.21,34374000.0,101338829.0,-,31.44,3144255687.44,电子-光学光电子-面板,核心供应商
000530,冰山冷热,,,,4.85,1.04,0.05,4.89,4.82,2.1,1.32,12612700.0,61192986.0,1.03,40.9,3242939692.4,机械设备-通用设备-制冷空调设备,核心供应商
000533,顺钠股份,,,,10.41,-4.67,-0.51,10.76,9.83,19.88,1.08,136151832.0,1423291432.66,-,71.91,7129833984.0,电力设备-电网设备-输变电设备,核心供应商/行业龙头
000536,华映科技,,,,3.17,2.59,0.08,3.2,3.12,2.15,1.24,59353457.0,188440090.83,-,87.68,8758971575.72,电子-光学光电子-面板,核心供应商
000538,云南白药,,,,52.86,0.21,0.11,52.86,51.9,0.63,1.16,11147510.0,583435683.53,4.92,943.16,93717257938.2,医药生物-中药Ⅱ-中药Ⅲ,行业龙头
000555,神州信息,,,,11.14,-0.98,-0.11,11.55,10.89,5.65,1.6,55024700.0,618422833.87,0.09,108.7,10857395879.18,计算机-IT服务Ⅱ-IT服务Ⅲ,核心供应商
000560,我爱我家,,,,2.25,1.35,0.03,2.26,2.2,2.61,0.87,61097653.0,136452712.12,-,53.0,5261481436.5,房地产-房地产服务-房产租赁经纪,行业龙头
000568,泸州老窖,,,,90.93,0.43,0.39,91.15,87.51,1.03,1.05,15134638.0,1359128698.38,6.54,1338.4,133763498257.41,食品饮料-白酒Ⅱ-白酒Ⅲ,行业龙头
000586,汇源通信,四川,主板,"深海科技,专精特新,光通信,5G概念,光纤概念,智能电网,微盘股概念,TMT,壳资源概念,特高压,QFII重仓,26中报预减",11.07,3.94,0.42,11.07,10.58,3.25,1.07,6206100.0,67364376.0,-,21.41,2116473300.0,通信-通信设备-通信线缆及配套,专精特新
000631,顺发恒能,,,,2.92,1.39,0.04,2.93,2.88,0.36,0.75,8356500.0,24283315.52,0.51,67.16,6716000248.2,公用事业-电力-电能综合服务,行业龙头
000651,格力电器,,,,42.3,-0.4,-0.17,42.3,41.43,1.34,1.44,73817952.0,3087871466.88,7.07,2369.39,233581000750.2,家用电器-白色家电-空调,行业龙头
000652,泰达股份,,,,3.53,0.57,0.02,3.55,3.5,0.62,0.9,9015860.0,31805884.8,-,51.51,5147525319.1,综合-综合Ⅱ-综合Ⅲ,行业龙头
000661,长春高新,,,,81.0,0.63,0.51,82.49,79.09,2.21,0.86,8822280.0,717645154.93,0.19,330.43,32368780008.0,医药生物-生物制品-其他生物制品,行业龙头
000670,盈方微,,,,6.93,-1.0,-0.07,7.44,6.93,10.79,1.2,89454900.0,644565991.0,-,58.62,5747049533.61,电子-其他电子Ⅱ-其他电子Ⅲ,核心供应商
000676,智度股份,广东,,"爱奇艺概念,全息技术,区块链,标普道琼斯中国,数字经济,抖音概念,今日头条概念,元宇宙,网络游戏,AI营销,小米概念,华为概念,创投,独角兽概念,昨日高换手,腾讯概念,互联网金融,拼多多概念,ChatGPT,百度概念,文化传媒概念,人工智能,阿里概念,智慧政务,网红直播,融资融券,龙头股,数字货币,深股通,NFT文交所,转融券标的,供应链金融,荣耀手机,快手概念,智能音箱,盲盒,26中报预增,华为鸿蒙,Web3.0,虚拟数字人,TMT,纳入富时罗素,虚拟现实（VR）",7.49,9.99,0.68,7.49,6.6,11.16,0.78,140456463.0,1019645563.61,-,94.36,9430123704.68,传媒-广告营销-营销代理,核心供应商/行业龙头
000681,视觉中国,江苏,,"区块链,标普道琼斯中国,抖音概念,知识产权保护,华为概念,小米概念,小红书概念,腾讯概念,百度概念,文化传媒概念,人工智能,AIGC,AI语料,阿里概念,数据要素,数字水印,融资融券,深股通,NFT文交所,转融券标的,昨日触板,数字中国,华为盘古,快手概念,旅游概念,小盘股,华为鸿蒙,数据确权,新零售,DeepSeek概念股,Gemini多模态,TMT,纳入富时罗素,虚拟现实（VR）,Sora概念(文生视频)",17.96,7.29,1.22,18.41,16.64,9.87,2.27,66701675.0,1189532912.08,0.13,125.82,12143385372.28,传媒-数字媒体-图片媒体,核心供应商
000682,东方电子,,,,11.98,0.84,0.1,12.11,11.89,1.46,0.98,19537803.0,234478609.87,0.73,160.62,16060379242.62,电力设备-电网设备-电网自动化设备,核心供应商
000695,滨海能源,,,,12.62,-0.94,-0.12,13.05,12.6,2.36,0.97,5223900.0,66749230.0,-,29.25,2799256889.68,电力设备-电池-电池化学品,核心供应商
000701,厦门信达,福建,主板,"疫苗检测溯源,半导体产业,LED概念,专精特新,有色金属概念,数字经济,节能照明,汽车销售,小米概念,文创玩具(谷子经济),创投,电子车牌,互联网金融,应急产业,统一大市场,小金属概念,铁矿石概念,并购重组,AIGC,无人零售,物联网,军工信息化,车联网(车路协同),福建自贸区,政府控股,低空经济,华为汽车,无人机,智慧城市,被动元件概念,电商概念,Web3.0,铜概念,国企改革,小米汽车,石墨烯,26中报业绩反转,快递物流,MiniLED",4.92,1.86,0.09,4.93,4.79,1.3,0.69,8700700.0,42468232.0,-,32.88,3285313424.52,商贸零售-贸易Ⅱ-贸易Ⅲ,专精特新
000708,中信特钢,,,,14.98,-0.07,-0.01,15.05,14.77,0.26,1.03,13194474.0,196435117.4,4.31,756.06,75606099197.44,钢铁-特钢Ⅱ-特钢Ⅲ,行业龙头
000720,新能泰山,,,,3.39,1.19,0.04,3.44,3.34,3.21,0.85,40316800.0,136684175.0,-,42.6,4259642025.69,电力设备-电网设备-线缆部件及其他,核心供应商
000725,京东方A,,,,5.51,2.8,0.15,5.72,5.51,5.84,1.17,2065917277.0,11597252907.49,1.02,2041.14,197799706413.54,电子-光学光电子-面板,核心供应商/行业龙头
000727,冠捷科技,,,,2.24,0.45,0.01,2.29,2.24,1.26,0.8,57057848.0,128943493.59,-,101.46,10146230035.2,电子-光学光电子-面板,核心供应商
000737,北方铜业,,,,13.42,3.39,0.44,13.57,13.2,2.62,1.31,49945515.0,668819727.51,1.04,255.61,25558916869.2,有色金属-工业金属-铜,行业龙头
000792,盐湖股份,,,,27.32,-1.94,-0.54,27.95,27.31,1.26,1.04,66659222.0,1839066169.65,-,1445.66,144564473135.72,基础化工-农化制品-钾肥,行业龙头
000795,英洛华,浙江,主板,"风电概念,稀土永磁,专精特新,医疗器械概念,融资融券,深股通,转融券标的,新能源车,无人机,苹果概念,新型工业化,养老概念,消费电子产业,新材料,人形机器人,比亚迪概念,小金属概念,纳入富时罗素,减速器,无线耳机,机器人概念",8.51,1.07,0.09,8.53,8.37,0.79,0.77,8778400.0,74537608.0,3.04,94.99,9499279219.77,有色金属-金属新材料-磁性材料,专精特新
000801,四川九洲,四川,主板,"北斗导航,专精特新,华为概念,军民融合,光通信,智能家居,通用航空,人工智能,并购重组,物联网,卫星互联网,数据要素,军工,军工信息化,大飞机,政府控股,低空经济,融资融券,家用电器概念,转融券标的,深股通,物业管理概念,无人机,智能座舱,超高清视频,智能制造,PCB概念,消费电子产业,机器视觉,国企改革,F5G,DeepSeek概念股,快递物流,纳入富时罗素",11.73,1.73,0.2,11.8,11.53,0.96,0.66,9779300.0,114680795.0,0.17,119.21,11917306317.39,家用电器-黑色家电-其他黑色家电,专精特新
000809,和展能源,,,,3.17,1.93,0.06,3.21,3.11,1.37,0.69,11326100.0,35993531.0,-,26.15,2614588398.81,电力设备-风电设备-风电零部件,核心供应商
000810,创维数字,,,,9.44,2.61,0.24,9.65,9.34,2.29,1.2,25394137.0,241108610.05,0.85,108.58,10484122292.0,家用电器-黑色家电-其他黑色家电,行业龙头
000811,冰轮环境,,,,35.3,5.5,1.84,36.81,34.6,7.81,1.36,76399839.0,2738804151.79,0.28,350.34,34537367539.3,机械设备-通用设备-制冷空调设备,核心供应商
000815,美利云,,,,15.18,10.0,1.38,15.18,14.27,9.23,0.53,64183188.0,943860982.5,-,105.54,10554092871.3,计算机-IT服务Ⅱ-IT服务Ⅲ,核心供应商/行业龙头
000821,ST京机,,,,7.05,1.73,0.12,7.08,6.91,1.1,1.05,6671900.0,46775456.0,0.46,43.91,4262787886.2,电力设备-光伏设备-光伏加工设备,核心供应商
000823,超声电子,,,,12.6,3.19,0.39,13.23,12.6,9.31,1.24,55401794.0,713598912.91,1.43,74.96,7496145304.2,电子-元件-印制电路板,核心供应商
000837,秦川机床,,,,9.68,6.02,0.55,9.85,9.35,2.36,1.65,23741417.0,227703019.56,0.31,99.04,9751664302.16,机械设备-通用设备-机床工具,核心供应商
000852,石化机械,湖北,主板,"油气设备服务,专精特新,海工装备,数字经济,工业互联网,大央企重组,页岩气,燃料电池概念,深海科技,储能概念,央企央资,天然气,雄安新区,政府控股,融资融券,转融券标的,油改概念,深股通,俄乌冲突概念,深地经济,氢能源,国企改革,地热能,双百企业,一带一路,可燃冰,地下管网",5.43,3.04,0.16,5.44,5.25,1.52,1.29,14440333.0,77664556.23,-,51.9,5159905680.39,机械设备-专用设备-能源及重型设备,专精特新/核心供应商
000856,冀东装备,,,,7.56,2.16,0.16,7.59,7.4,1.87,0.96,4241100.0,31916738.0,0.53,17.16,1716120000.0,机械设备-专用设备-其他专用设备,核心供应商
000858,五粮液,,,,78.0,-0.71,-0.56,78.68,76.59,1.28,1.27,49786045.0,3882961624.94,6.61,3027.65,302758044498.0,食品饮料-白酒Ⅱ-白酒Ⅲ,行业龙头
000877,天山股份,,,,3.83,0.26,0.01,3.83,3.76,0.21,0.99,14686555.0,55771507.1,-,272.33,27233177443.02,建筑材料-水泥-水泥制造,行业龙头
000880,潍柴重机,,,,21.71,2.21,0.47,22.07,21.6,4.74,1.32,10752135.0,234747897.68,0.86,100.7,4928751828.0,机械设备-通用设备-其他通用设备,核心供应商
000889,中嘉博创,河北,,"区块链,5G概念,数字货币,标普道琼斯中国,抖音概念,华为概念,RCS富媒体通信,互联网金融,百度概念,26中报业绩反转,TMT,阿里概念,大数据,金融科技",3.68,6.67,0.23,3.78,3.6,8.95,1.07,77891380.0,287242248.2,-,34.46,3201030137.28,通信-通信服务-通信工程及服务,核心供应商
000893,亚钾国际,,,,51.86,-0.84,-0.44,52.5,50.06,2.11,0.87,17109650.0,877874169.37,0.21,479.21,42100275962.64,基础化工-农化制品-钾肥,行业龙头
000895,双汇发展,,,,25.99,-3.2,-0.86,26.4,25.73,0.56,1.44,19370652.0,505243485.37,5.58,900.47,90034804047.33,食品饮料-食品加工-肉制品,行业龙头
000922,佳电股份,,,,10.9,0.65,0.07,11.2,10.86,1.99,1.07,14062129.0,154424491.91,0.84,90.9,7683728312.7,电力设备-电机Ⅱ-电机Ⅲ,核心供应商
000925,众合科技,浙江,,"集成电路概念,半导体产业,合成生物,乡村振兴,数字经济,病毒防治,芯片概念,磁悬浮,腾讯概念,无人驾驶,先进封装(Chiplet),机器人概念,数据要素,车联网(车路协同),空间计算,低空经济,东数西算/算力,无人机,智能制造,商业航天,数据中心,铁路基建,数据确权,智慧灯杆,Gemini多模态,碳基半导体,大数据,半导体材料概念,工业互联网,元宇宙,节能环保,华为概念,信创,算力租赁,人工智能,高校,卫星互联网,激光雷达,半导体设备概念,数字孪生,数字水印,医疗器械概念,深股通,杭州亚运会,数字中国,智慧城市,机器视觉,新材料,虚拟数字人,一带一路,轨道交通,时空大数据,高铁,智能交通",7.11,4.41,0.3,7.15,6.98,4.19,1.11,28095820.0,198596609.4,0.2,48.09,4771893834.18,机械设备-轨交设备Ⅱ-轨交设备Ⅲ,核心供应商
000932,华菱钢铁,,,,3.93,-1.26,-0.05,3.98,3.91,1.56,1.04,107090721.0,421887488.03,4.07,269.31,26930753998.8,钢铁-普钢-板材,行业龙头
000938,紫光股份,,,,34.89,3.84,1.29,35.99,34.07,14.1,1.17,403408633.0,14167134552.55,0.19,997.88,99787935595.86,计算机-IT服务Ⅱ-IT服务Ⅲ,核心供应商/行业龙头
000948,南天信息,,,,15.78,2.6,0.4,16.13,14.6,14.39,1.99,56001686.0,864446063.16,0.19,61.52,6140775811.98,计算机-软件开发-垂直应用软件,核心供应商
000963,华东医药,,,,29.11,-1.29,-0.38,29.35,28.98,1.25,1.13,21895981.0,637622638.14,3.19,510.51,51030211282.78,医药生物-化学制药-化学制剂,行业龙头
000967,盈峰环境,浙江,,"PPP模式,新能源车,垃圾分类,无人物流车,节能环保,昨日涨停,华为概念,特色小镇,污水处理,固废处理,储能概念,核电概念,无人驾驶,物联网,机器人概念,昨日连板,数据要素,云计算,融资融券,转融券标的,充电桩,深股通,智慧城市,小盘股,土壤修复,智能电网,轨道交通,纳入富时罗素",7.85,9.94,0.71,7.85,7.8,1.31,0.49,43910749.0,344648354.65,1.64,263.7,26357698133.2,环保-环保设备Ⅱ-环保设备Ⅲ,核心供应商
000970,中科三环,,,,12.09,-0.82,-0.1,12.84,12.08,5.97,1.34,72631740.0,901602198.56,0.2,146.98,14698124595.57,有色金属-金属新材料-磁性材料,行业龙头
000975,山金国际,,,,23.38,0.91,0.21,24.07,23.16,3.04,1.07,76816631.0,1810044288.05,2.05,648.22,58993288471.46,有色金属-贵金属-黄金,行业龙头
000977,浪潮信息,,,,71.81,3.95,2.73,74.98,71.26,6.15,0.96,90168340.0,6608869069.04,0.06,1054.51,105333191845.24,计算机-计算机设备-其他计算机设备,核心供应商/行业龙头
000988,华工科技,湖北,主板,"全息技术,半导体产业,激光,乡村振兴,标普道琼斯中国,特斯拉,3D打印,芯片概念,氮化镓,宁德时代概念,湖北国企改革,新型工业化,独角兽概念,腾讯概念,农机,量子通信,先进封装(Chiplet),基因测序,物联网,阿里概念,MSCI概念,机器人概念,共封装光模块(CPO）,数据要素,超节点,航空发动机,政府控股,融资融券,行业龙头,华为汽车,东数西算/算力,转融券标的,工业4.0,智能制造,商业航天,苹果概念,汽车电子概念,PCB概念,铜缆高速连接器,国企改革,快充概念,汽车热管理,纳入富时罗素,MiniLED,疫苗检测溯源,光芯片,专精特新,工业母机,5G概念,玻璃基板封装,工业互联网,新能源车,钙钛矿电池,第三代半导体,磷化铟晶片,柔性屏,华为概念,创投,6G,光通信,储能概念,百度概念,智能家居,高校,大飞机,家用电器概念,充电桩,深股通,智能座舱,智慧城市,大盘股,蓝宝石,氢能源,新材料,工业自动化,比亚迪概念,锂电池概念,F5G,TMT,传感器,3D玻璃",93.17,-2.31,-2.2,95.83,92.16,3.67,0.64,36878634.0,3462177054.93,0.27,936.83,93634513662.69,机械设备-自动化设备-激光设备,专精特新/核心供应商/行业龙头
000997,新大陆,,,,18.79,1.73,0.32,19.02,18.3,3.21,1.3,32360794.0,603215110.29,1.31,190.36,18929785968.99,计算机-计算机设备-其他计算机设备,核心供应商
001205,盛航股份,江苏,主板,"股权转让,专精特新,一带一路,含可转债,航运概念",13.64,2.71,0.36,13.76,13.26,2.07,0.95,3442040.0,46747813.92,1.08,25.64,2270846247.56,交通运输-航运港口-航运,专精特新
001208,华菱线缆,湖南,主板,"雅鲁藏布江水电站,专精特新,海工装备,新疆振兴,昨日高振幅,工业互联网,新能源车,水利建设,昨日涨停,高低压设备概念,深海科技,核电概念,并购重组,机器人概念,军工,风电概念,政府控股,深股通,充电桩,昨日首板,商业航天,特高压,光伏概念,可控核聚变,国企改革,人形机器人,比亚迪概念,航天装备概念,高铁,盾构机",14.66,9.98,1.33,14.66,13.59,8.24,1.27,26247945.0,377446322.65,0.44,93.58,4672635411.62,电力设备-电网设备-线缆部件及其他,专精特新/核心供应商
001223,欧克科技,江西,主板,"专精特新,深股通,可降解塑料,造纸概念,无人机,举牌概念,口罩,复合集流体(PET铜箔),新型工业化,昨日涨停,PCB概念,固态电池,消费电子产业,锂电池概念,机器人概念,26中报预减,昨日连板",36.17,10.01,3.29,36.17,33.08,4.89,1.52,3414568.0,120417217.0,0.42,47.27,2525924716.0,机械设备-自动化设备-其他自动化设备,专精特新/核心供应商
001226,拓山重工,安徽,主板,"专精特新,雅鲁藏布江水电站,工程机械概念,挖掘机",39.1,2.38,0.91,39.17,37.38,1.4,0.59,475300.0,18370572.0,-,29.19,1326522240.0,机械设备-工程机械-工程机械器件,专精特新/核心供应商
001229,魅视科技,广东,主板,"军工信息化,智慧政务,车联网(车路协同),安防概念,专精特新,数字经济,昨日首板,芯片概念,数字中国,商业航天,教育信息化,智慧城市,昨日涨停,手势识别,信创,粤港澳自贸区,AI应用,智能电网,在线教育,人工智能,TMT,26中报预减,IT服务概念",34.98,10.0,3.18,34.98,32.51,3.13,0.33,2307920.0,79240852.4,0.61,50.17,2579817150.9,计算机-计算机设备-其他计算机设备,专精特新/核心供应商
001230,劲旅环境,安徽,主板,"车联网(车路协同),专精特新,PPP模式,数字经济,昨日高振幅,新能源车,垃圾分类,新型城镇化建设,无人物流车,智慧城市,数据中心,固废处理,污水处理,人工智能,无人驾驶,DeepSeek概念股,物联网,机器人概念",18.4,5.87,1.02,18.8,17.23,7.11,1.12,7819347.0,142645932.35,1.9,34.55,2023609515.2,环保-环境治理-固废治理,专精特新
001233,海安集团,福建,主板,"轮胎概念,专精特新,融资融券,深股通,转融券标的,新股与次新股,俄乌冲突概念,筹码集中100",44.76,1.82,0.8,44.97,43.7,3.78,1.01,1426590.0,63560118.87,4.47,83.24,1688039564.52,汽车-汽车零部件-轮胎轮毂,专精特新
001237,惠康科技,,,,52.98,1.73,0.9,53.86,52.57,6.24,1.07,2174949.0,115870455.71,-,78.6,1846672363.44,机械设备-通用设备-制冷空调设备,核心供应商
001239,永达股份,,,,11.12,2.3,0.25,11.18,10.92,3.3,0.98,3761767.0,41576660.84,-,26.69,1267680000.0,机械设备-工程机械-工程机械器件,核心供应商
001255,博菲电气,浙江,主板,"军工,风电概念,专精特新,家用电器概念,工业4.0,新能源车,微盘股概念,水利建设,有机硅类,光伏概念,超导概念,化学原料概念,长三角一体化,磁悬浮,新材料,比亚迪概念,核电概念,微利股,高铁,QFII重仓,26中报预减",24.0,3.36,0.78,24.0,23.16,1.72,1.13,1331400.0,31515380.95,0.17,20.88,1853130816.0,基础化工-塑料-合成树脂,专精特新
001256,炜冈科技,浙江,主板,"专精特新,长三角一体化,包装印刷概念,26中报预增",23.76,6.55,1.46,24.19,22.5,4.2,2.09,4488300.0,105234282.0,1.26,33.88,2540242378.08,机械设备-专用设备-印刷包装机械,专精特新/核心供应商
001258,立新能源,,,,12.34,-0.08,-0.01,12.97,11.12,17.7,0.97,165169541.0,1987968320.27,0.24,115.17,11517213026.56,公用事业-电力-风力发电,行业龙头
